门店编码	美团门店id	门店名称	地址	省级分部描述	门店类型描述	电话	负责人电话	市级分部描述	城市描述	管理地区	片区	更新时间	开店日期	关店日期	经度	纬度
B966	68523	呈贡晨光街分店	云南省昆明市呈贡区晨光街14,16,18,20号	云南分部	药店	0871-67486751	0871-67486751	昆明一部	昆明	呈贡新区	呈贡新区08	2022/7/26 15:17	2020/11/2 0:00		24.893886	102.801649
B967	68683	昆明河宏路分店	昆明市西山区前卫街道办事处拥护社区未名城A8地块1栋15号	云南分部	药店	0871-68104410	0871-68104410	昆明二部	昆明	昆明西区	昆明西区02	2022/7/26 14:42	2020/9/18 0:00		24.990492	102.695256
B968	68823	施甸交通路分店	云南省保山市施甸县甸阳镇摩苍路南侧	云南分部	药店	NULL	NULL	保山分部	施甸	保山地区	保山06	2022/7/26 15:07	2020/9/11 0:00		24.728082	99.186261
B969	76425	麻栗坡龙熙顺景分店	麻栗坡县莱溪河开发区龙熙顺景3幢1单元1层01、02号	云南分部	药店	NULL	NULL	文山分部	麻栗坡	文山地区	文山12	2022/7/26 14:24	2020/11/22 0:00		23.137351	104.713101
B970	69123	成都新乐路二分店	成都市高新区新乐路79号一层	四川分部	药店	028-85329428	028-85329428	四川分部	成都	成都地区	成都03	2022/7/26 15:17	2020/9/30 0:00		30.603957	104.042527
B971	69124	成都广场路北一段二分店	成都市红光镇广场路北一段15号一1层15号，17号1层17号，19号1层19号	四川分部	药店	028-62078718	028-62078718	四川分部	成都	成都地区	成都06	2022/8/27 11:38	2020/9/30 0:00		30.779016	103.948019
B972	69023	楚雄振兴路二分店	楚雄市开发区施家园安置小区70号地	云南分部	药店	8783817375	15750346092	楚雄分部	楚雄	楚雄二区	楚雄二区03	2022/7/26 14:49	2020/9/24 0:00		25.050017	101.547515
B973	69084	双江百货大楼分店	双江县百货大楼西侧	云南分部	药店	NULL	NULL	临沧分部	双江	临沧地区	临沧04	2022/7/26 14:56	2020/9/11 0:00		23.473499	99.827698
B974	69003	昆明朝花曦拾分店	昆明高新区M2-7地块磊鑫花园9幢1号，8幢13号	云南分部	药店	0871-68351306	0871-68351306	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 15:16	2020/9/28 0:00		25.071282	102.651746
B975	69223	南宁金源悦府分店	南宁市兴宁区玉蟾路3号金源城金源悦府39号楼108，109号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区01	2022/10/8 17:01	2020/9/12 0:00		22.866754	108.364134
B976	73166	南宁城市春天分店	南宁市西乡塘区北湖北路20号城市春天8号楼一层C单元5号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区04	2022/10/8 17:01	2020/9/29 0:00		22.853889	108.325052
B977	69503	南宁保利领秀前城领秀府分店	南宁市青秀区凤岭南路16号保利领秀前城领秀府3号楼一层103,105号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁二区	南宁二区02	2022/10/8 17:01	2020/9/12 0:00		22.790085	108.423436
B978	69504	南宁钱隆公馆分店	南宁市江南区宏德路236号、五一西路5号云星钱隆公馆S3S5商业楼及2 号楼一层1061，1062号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区03	2022/10/8 17:02	2020/9/21 0:00		22.805288	108.271661
B979	69004	大理宾川路二分店	云南省大理白族自治州经济开发区第三时空108号	云南分部	药店	NULL	NULL	大理分部	大理	大理南区	大理南区01	2022/7/26 14:28	2020/10/12 0:00		100.245585	25.597104
B980	69443	南涧振兴南路分店	云南省大理白族自治州南涧彝族自治县南涧镇振兴南路F0001号靠南边一楼三间	云南分部	药店	NULL	NULL	大理分部	南涧	大理南区	大理南区06	2022/7/26 14:38	2020/11/16 0:00		25.047231	100.524493
B981	69323	昆明御风苑分店	昆明市五华区科普路御风苑22A幢SA106，SA107号	云南分部	药店	0871-67128641	0871-67128641	昆明一部	昆明	昆明北区	昆明北区06	2022/11/1 15:41	2020/9/24 0:00		25.081933	102.657994
B982	71243	马关电力花园分店	马关县马白镇亚龙尚城二期雅兴苑A幢14号	云南分部	药店	NULL	NULL	文山分部	马关	文山地区	文山11	2022/7/26 14:22	2020/11/19 0:00		23.017478	104.396816
B983	69283	南华滨河苑分店	南华县龙川镇华强路滨河苑农贸市场49号	云南分部	药店	0878-7313366	0878-7313366	楚雄分部	南华	楚雄二区	楚雄二区08	2022/8/12 14:47	2020/9/25 0:00		25.202596	101.274884
B984	69343	昆明新迎路分店	昆明市人民东路398号金地山水小区15室	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明东区	昆明东区08	2022/7/26 14:23	2020/9/28 0:00		25.04483	102.740263
B985	69183	镇雄呢噜坪分店	镇雄县呢噜坪安置点003号一楼右边一间	云南分部	药店	NULL	NULL	昭通分部	镇雄	昭通地区	昭通06	2022/7/26 15:07	2020/9/24 0:00		27.431889	104.858597
B986	76443	水富中兴路分店	水富县向家坝镇枫叶新城96幢1-1、1-2号	云南分部	药店	NULL	NULL	昭通分部	水富	昭通地区	昭通07	2022/7/26 15:10	2020/12/31 0:00		28.60903	104.414358
B987	69683	云县云兴商业街分店	云县爱华镇东大街1幢104、105号	云南分部	药店	NULL	NULL	临沧分部	云县	临沧地区	临沧02	2022/7/26 15:17	2020/9/30 0:00		24.444125	100.132434
B988	69143	重庆红黄路二分店	重庆市江北区红黄路1号3幢附9号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区05	2022/10/13 13:24	2020/9/5 0:00			
B989	69224	重庆建新西路一分店	重庆市江北区建新西路396号14-1号楼1-商业15、16	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区01	2022/10/13 13:27	2020/9/27 0:00		29.560546	106.509864
B990	69403	重庆西荣路分店	重庆市沙坪坝区西荣路10号附1、2号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区03	2022/10/10 13:56	2020/9/23 0:00		29.612432	106.364687
B991	69444	南涧涧东佳园分店	云南省大理白族自治州南涧县城中兴路延长段驰达汽车城1-118室	云南分部	药店	NULL	NULL	大理分部	南涧	大理南区	大理南区06	2022/7/26 14:28	2020/12/5 0:00		25.037477	100.523123
B992	70463	昆明南悦城分店	云南省昆明滇池国家旅游度假区广福路中段南悦城购物中心4栋1层4-1-2,4-1-3号	云南分部	药店	0871-65883552	0871-65883552	昆明二部	昆明	昆明西区	昆明西区01	2022/7/26 15:00	2020/9/30 0:00		24.977179	102.711764
B993	69263	重庆南坪东路二分店	重庆市南岸区南坪街道南坪东路29号3-3号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区04	2022/8/13 13:31	2020/8/24 0:00		29.530613	106.574234
B994	69383	重庆中央公园北路二分店	重庆市渝北区中央公园北路288号附4号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆二区	重庆二区04	2022/9/16 14:46	2020/9/27 0:00		29.726577	106.578726
B995	71229	绿春大兴街分店	红河州绿春县供销社农资日杂有限责任公司业务用房一层	云南分部	药店	NULL	NULL	红河分部	绿春	红河一区	红河一区09	2022/7/26 14:22	2020/9/24 0:00		22.994454	102.397463
B996	73167	南宁盛邦珑湖分店	南宁市良庆区玉洞大道28号盛邦珑湖15号楼一层102号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/8 17:02	2020/9/27 0:00		22.736849	108.358183
B997	76263	南宁金域中央分店	南宁市良庆区平乐大道16号金域中央15号楼地下一层B116、B117号商铺	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区01	2022/10/8 17:02	2020/9/27 0:00		22.753272	108.379678
B998	73346	绿春新村路分店	云南省红河州绿春县新村路66号	云南分部	药店	NULL	NULL	红河分部	绿春	红河一区	红河一区09	2022/7/26 14:28	2020/10/21 0:00		22.994612	102.400166
B999	70169	成都天府大道分店	成都市犀浦镇天府大道2号，4号1层	四川分部	药店	028-86762185	028-86762185	四川分部	成都	成都地区	成都06	2022/12/3 11:38	2020/10/14 0:00		30.757081	103.973904
C001	70143	成都安民街分店	成都市郫都区郫筒镇安民街23号1层23号	四川分部	药店	028-86939653	028-86939653	四川分部	成都	成都地区	成都07	2022/9/8 9:59	2020/10/14 0:00		30.800164	103.895285
C002	72523	昭通御峰云府分店	昭通市昭阳区迎宾大道南侧御峰云府二期6幢第1单元第1层S104号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通05	2022/7/26 15:04	2020/9/30 0:00		27.306228	103.689426
C003	70583	呈贡书香大地二分店	昆明市呈贡区书香大地B09幢1层4,5号	云南分部	药店	NULL	NULL	昆明一部	昆明	呈贡新区	呈贡新区06	2022/7/26 15:05	2021/9/19 0:00		102.844625	24.843203
C004	75330	昆明恒大名都二分店	昆明市高新区恒大名都小区A3地块Ⅶ五号商业S12，S13号	云南分部	药店	0871-65109646	0871-65109646	昆明一部	昆明	呈贡新区	呈贡新区01	2022/7/26 15:16	2020/10/14 0:00		25.079788	102.655827
C005	76423	石屏逸景花园分店	云南省红河州石屏县逸景花园1期对面大西山村委会马家山小组	云南分部	药店	NULL	NULL	红河分部	石屏	红河二区	红河二区05	2022/7/26 14:28	2020/10/29 0:00		23.707066	102.487172
C006	76424	石屏宝塔路分店	红河州石屏县异龙镇钟秀街	云南分部	药店	NULL	NULL	红河分部	石屏	红河二区	红河二区05	2022/7/26 14:22	2020/11/5 0:00		23.709094	102.489271
C007	76286	龙陵凯龙城分店	云南省保山市龙陵县龙山镇凯龙城三期9幢02	云南分部	药店	NULL	NULL	保山分部	龙陵	保山地区	保山08	2022/7/26 15:18	2020/10/10 0:00		24.599282	98.692374
C008	75344	景洪版纳一品分店	西双版纳景洪市清泉路10号版纳一品2幢102室	云南分部	药店	NULL	NULL	普洱景洪分部	景洪	景洪地区	景洪地区02	2022/7/26 14:23	2020/9/29 0:00		22.022951	100.785082
C009	73165	成都红高路分店	四川省郫都市红高路8号步步高商场内第1层103号	四川分部	药店	028-60272305	028-60272305	四川分部	成都	成都地区	成都06	2022/8/27 11:40	2020/9/30 0:00		30.77314	103.941101
C010	75153	成都吉龙二街分店	成都市高新区吉龙二街221,223号	四川分部	药店	028-86950563	028-86950563	四川分部	成都	成都地区	成都03	2022/7/26 15:17	2020/11/20 0:00		30.535869	104.089949
C011	70523	重庆凤鸣山二分店	重庆市沙坪坝区凤鸣山307号附40号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区02	2022/9/29 14:31	2020/9/2 0:00		29.517485	106.44949
C012	76883	金堂滨江路分店	成都市金堂县赵镇滨江路一段105号	四川分部	药店	028-85179556	028-85179556	四川分部	金堂	成都地区	成都05	2022/7/26 15:17	2020/11/1 0:00		30.849991	104.427375
C013	76444	昭通环城东路二分店	昭通市昭阳区东煤路1、2、3号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通03	2022/7/26 15:06	2020/11/1 0:00		27.33457	103.726088
C014	76364	寻甸翠苑路分店	云南省寻甸县仁德镇翠苑路2幢5,6号	云南分部	药店	0871-62692908	0871-62692908	昆明二部	寻甸	郊县地区	郊县地区04	2022/7/26 14:23	2020/10/15 0:00		25.560342	103.262858
C015	76523	嵩明杨林空港俊发城翡丽蓝湾分店	昆明市嵩明县杨林工业园区空港大道2号空港俊发城5#地块9幢1层101号	云南分部	药店	0871-67973769	0871-67973769	昆明二部	嵩明杨林	郊县地区	郊县地区05	2022/7/26 15:09	2020/10/16 0:00		25.245111	103.01157
C016	76643	昆明红菱花园分店	昆明市赵、李家堆村红菱花园A2-8幢C1-46，47，48号	云南分部	药店	NULL	NULL	昆明一部	昆明	昆明北区	昆明北区05	2022/7/26 14:38	2021/5/26 0:00		25.046701	102.683371
C017	75233	重庆西双大道分店	重庆市沙坪坝区西双大道20号附47号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆三区	重庆三区03	2022/9/22 14:34	2020/9/8 0:00		29.611236	106.365429
C018	76583	重庆融景路分店	重庆市江北区融景路20号附3号	重庆分部	药店	NULL	NULL	重庆分部	重庆	重庆一区	重庆一区01	2022/10/14 14:09	2020/11/15 0:00		29.57467	106.55589
C019	76285	龙陵凯龙城二分店	龙陵凯龙城二分店	云南分部	药店	NULL	NULL	保山分部	龙陵	保山地区	保山08	2022/9/5 15:48	2020/10/10 0:00		24.600902	98.693103
C020	76624	昆明万科公园里三期分店	昆明市官渡区矣六街道办事处云福路金域南郡花园2-1地块三期2幢18,19,20,21号	云南分部	药店	0871-63351262	0871-63351262	昆明二部	昆明	郊县地区	郊县地区03	2022/8/17 13:37	2020/10/14 0:00		24.92679	102.77996
C021	76623	昆明云报华府御府分店	昆明市西山区日新中路恒大云报华府D地块D1幢商业110,111,112号	云南分部	药店	0871-67128774	0871-67128774	昆明二部	昆明	昆明西区	昆明西区02	2022/7/26 14:24	2020/11/1 0:00		25.00027	102.695869
C022	76783	昆明金源大道二分店	昆明市官渡区小板桥镇金刚村民委员会第三村民小组金刚综合市场4幢1-3层	云南分部	药店	0871-63309013	0871-63309013	昆明二部	昆明	昆明南区	昆明南区06	2022/7/26 14:26	2020/10/14 0:00		24.966728	102.747252
C023	76683	元阳水岸郦城分店	云南省红河州元阳县南沙常青路水岸郦城一期一幢7、8号	云南分部	药店	NULL	NULL	红河分部	元阳	红河一区	红河一区08	2022/7/26 14:37	2020/11/7 0:00		23.216952	102.84273
C024	76663	呈贡兴呈路分店	云南省昆明市呈贡县龙城镇兴呈路12路车站旁4381,4385号	云南分部	药店	0871-67482852	0871-67482852	昆明一部	昆明	呈贡新区	呈贡新区08	2022/7/26 15:17	2020/10/22 0:00		24.889772	102.7979
C025	76843	昆明希望荟耍街分店	云南省昆明市希望荟耍街A1-2项目11幢S1006-S1007号	云南分部	药店	0871-64633834	0871-64633834	昆明二部	昆明	昆明西区	昆明西区01	2022/7/26 14:24	2021/2/22 0:00		24.982069	102.712878
C026	77203	宜良花园街分店	宜良县匡远镇鱼龙小区	云南分部	药店	0871-67646140	0871-67646140	昆明二部	宜良	昆明西区	昆明西区09	2022/7/26 14:24	2020/11/4 0:00		24.921907	103.146656
C027	77183	宜良乡鸭湖玫瑰苑分店	宜良县匡远镇乡鸭湖小区一期玫瑰苑B-4幢41-42号	云南分部	药店	0871-67646147	0871-67646147	昆明二部	宜良	昆明西区	昆明西区09	2022/7/26 15:22	2020/11/4 0:00		24.915639	103.158175
C028	77163	晋宁晋城兴益路二分店	昆明市晋宁县晋城镇东西街	云南分部	药店	0871-67801292	0871-67801292	昆明一部	晋宁晋城	呈贡新区	呈贡新区04	2022/7/26 15:02	2020/10/26 0:00		24.707854	102.751693
C029	76823	呈贡郎家营分店	云南省昆明市呈贡区吴家营街道郎家营社区6号商铺1楼	云南分部	药店	0871-67471495	0871-67471495	昆明一部	昆明	呈贡新区	呈贡新区06	2022/7/26 15:09	2020/11/2 0:00		24.856609	102.861428
C030	77003	桂林鑫隆置业广场分店	桂林市象山区瓦窑路58号鑫隆置业广场1.2栋1-28,1-29号	广西分部	药店	NULL	NULL	广西分部	桂林	桂柳地区	桂柳01	2022/10/8 17:02	2020/10/30 0:00		25.236542	110.293204
C031	76743	南宁中谷蓝枫分店	南宁市西乡塘区滨河路1-1号中谷蓝枫商务区1-12号	广西分部	药店	NULL	NULL	广西分部	南宁	南宁一区	南宁一区05	2022/10/8 17:02	2020/11/8 0:00		22.858095	108.274197
C032	77883	金堂金鹏路分店	成都市金堂县金鹏路66号	四川分部	药店	028-81296269	028-81296269	四川分部	金堂	成都地区	成都05	2022/11/15 9:26	2020/11/4 0:00		30.846996	104.404609
C033	77244	昆明公园盛世分店	昆明市官渡区矣六街道办事处绿色轩雨庭小区12栋1层4号	云南分部	药店	0871-65885656	0871-65885656	昆明二部	昆明	昆明南区	昆明南区08	2022/7/26 14:25	2020/10/30 0:00		24.93297	102.763003
C034	77245	南涧龙凤御锦城分店	云南省大理白族自治州南涧县南涧镇幸福路龙凤御锦城2#楼第2幢第1层2-12，2-13号	云南分部	药店	NULL	NULL	大理分部	南涧	大理南区	大理南区06	2022/7/26 14:28	2020/11/16 0:00		25.03377	100.514876
C035	77343	嵩明滨河苑二期分店	嵩明县嵩阳镇东北街村委会阳先公路旁滨河苑二期7幢11,12号	云南分部	药店	0871-67998733	0871-67998733	昆明二部	嵩明	郊县地区	郊县地区07	2022/8/29 16:23	2020/11/16 0:00		25.338637	103.051395
C036	77246	呈贡雨花国际分店	云南省昆明市呈贡区雨花片区西部雨花国际商务中心一期A4地块商品房项目A4-6b幢111号	云南分部	药店	0871-67497052	0871-67497052	昆明一部	昆明	呈贡新区	呈贡新区07	2022/7/26 15:17	2020/11/2 0:00		24.835101	102.825194
C037	77243	昆明白龙新区分店	昆明市白龙新区602幢1单元4号	云南分部	药店	0871-67289006	0871-67289006	昆明一部	昆明	昆明东区	昆明东区05	2022/7/26 14:23	2020/11/2 0:00		25.061176	102.741833
C038	77264	大理苍山东路三分店	云南省大理白族自治州大理创新工业园区苍山路	云南分部	药店	NULL	NULL	大理分部	大理	大理南区	大理南区03	2022/7/26 14:28	2020/12/3 0:00		100.255894	25.596399
C039	77623	丘北上品天成分店	丘北县锦屏镇石缸坝新城区上品天成住宅小区24幢5号	云南分部	药店	NULL	NULL	文山分部	丘北	文山地区	文山07	2022/11/4 15:20	2020/11/29 0:00		24.047242	104.174894
C040	77263	昭通医卫路分店	昭通市昭阳区医卫路3号	云南分部	药店	NULL	NULL	昭通分部	昭通	昭通地区	昭通03	2022/7/26 15:06	2020/11/1 0:00		27.336028	103.72641
